TQ,TQ COUNT,TBSCAN,TBSCAN COUNT,HS JOIN,HS JOIN COUNT,db2,actual
0.00470012,1,13134634.195105,9,71.77366392,8,521.28,251.296
0.00470012,1,13134634.195105,9,71.77366392,8,251.296,251.296
0.00528764,1,13134634.345105,9,71.82942403999999,8,251.264,251.248
0.00470012,1,13134634.195105,9,71.77366392,8,251.248,251.252
1.62108e-05,1,13050368.429105,9,96.4198622824,8,171.5,171.316
1.68342e-05,1,13050368.479105,9,96.4198636026,8,171.5,171.108
1.62108e-05,1,13050368.429105,9,96.4198622824,8,171.5,170.82
0.000376549,1,13055904.395105,9,71.842904449,8,251.248,251.248
0.000349653,1,13055904.295105,9,71.806095553,8,251.248,251.252
0.000403446,1,13055904.495105,9,71.879713446,8,251.248,251.248
0.00470012,1,13134634.195105,9,71.77366392,8,251.248,251.34
0.0050918,1,13134634.295105,9,71.8108377,8,251.256,251.252
0.0050918,1,13134634.295105,9,71.8108377,8,251.252,251.256
0.00587515,1,13134634.495105,9,71.88518515,8,251.252,251.248
0.0050918,1,13134634.295105,9,71.8108377,8,251.248,251.248
1.49638e-05,1,13050368.329105,9,96.4198596418,8,171.5,170.736
1.68342e-05,1,13050368.479105,9,96.4198636026,8,171.5,170.6
1.68342e-05,1,13050368.479105,9,96.4198636026,8,171.5,154.432
1.80812e-05,1,13050368.579105,9,96.4198662432,8,171.5,154.432
1.49638e-05,1,13050368.329105,9,96.4198596418,8,171.5,170.672
1.68342e-05,1,13050368.479105,9,96.4198636026,8,171.5,153.856
1.68342e-05,1,13050368.479105,9,96.4198636026,8,171.5,170.752
1.80812e-05,1,13050368.579105,9,96.4198662432,8,171.5,170.672
1.74577e-05,1,13050368.529105,9,96.4198649229,8,171.5,155.988
1.87047e-05,1,13050368.629105,9,96.4198675635,8,171.5,171.62
0.00528764,1,13134634.345105,9,71.82942403999999,8,251.248,251.248
1.49638e-05,1,13050368.329105,9,96.4198596418,8,171.5,154.652
0.000903662,1,13066352.195105,9,96.673434062,8,171.5,173.432
0.000684599,1,13060653.395105,9,71.843212499,8,251.248,251.248
1.62108e-05,1,13050368.429105,9,96.4198622824,8,171.5,157.1
1.87047e-05,1,13050368.629105,9,96.4198675635,8,171.5,174.14
1.62108e-05,1,13050368.429105,9,96.4198622824,8,171.5,173.412
1.87047e-05,1,13050368.629105,9,96.4198675635,8,171.5,173.868
1.49638e-05,1,13050368.329105,9,96.4198596418,8,171.5,173.996
1.62108e-05,1,13050368.429105,9,96.4198622824,8,171.5,173.572
1.68342e-05,1,13050368.479105,9,96.4198636026,8,171.5,171.16
0.00567932,1,13134634.445105,9,71.86659782,8,251.248,251.248
1.68342e-05,1,13050368.479105,9,96.4198636026,8,171.5,170.92
1.49638e-05,1,13050368.329105,9,96.4198596418,8,171.5,170.388
1.62108e-05,1,13050368.429105,9,96.4198622824,8,171.5,171.468
0.0005868,1,13060653.195105,9,71.7695506,8,251.248,251.272
0.0005868,1,13060653.195105,9,71.7695506,8,251.248,251.272
0.0050918,1,13134634.295105,9,71.8108377,8,251.248,251.248
0.00528764,1,13134634.345105,9,71.82942403999999,8,251.248,251.256
0.0050918,1,13134634.295105,9,71.8108377,8,251.248,251.248
0.0050918,1,13134634.295105,9,71.8108377,8,251.248,251.248
0.00567932,1,13134634.445105,9,71.86659782,8,251.248,251.248
0.00587515,1,13134634.495105,9,71.88518515,8,251.248,251.248
0.00587515,1,13134634.495105,9,71.88518515,8,251.248,251.248
